movie_title,review
독수리 5형제를 부탁해!,"주말드라마라 보긴하는데 사연들이 참 복잡복잡
행복허길 바라며...."
독수리 5형제를 부탁해!,고앵씨
독수리 5형제를 부탁해!,돌싱이만 악착같이 독수리술도가를 살리기위해 시동생들과 고군분투하며 사는 여주에 대기업의 회장이 나타나고 그둘의 로맨스사이에 끼어드는 현실
슈퍼맨,영화의순간들
슈퍼맨,"위에서 내려다보지 않고, 가까이에서 눈 맞추는 슈퍼맨의 탄생."
슈퍼맨,호잉이아빠
슈퍼맨,"히어로, 그 이상의 인간"
슈퍼맨,24fps
슈퍼맨,제임스 건의 좋은 점과 나쁜 점이 혼합됐다. 가오갤스럽지 않은 영화는 찍지 못하게 된건가
슈퍼맨,낯선사람
슈퍼맨,진짜 히어로. 이 영화를 기점으로 DC는 영광을 되찾을 것이다.
슈퍼맨,로니
슈퍼맨,우리 곁에도 슈퍼맨이 있다면 얼마나 좋을까.
슈퍼맨,ossie
슈퍼맨,"B급 캐릭터를 모아 A급 영화로 만드는 언더독의 재능이, S급 캐릭터를 주인공으로 하는 영화에선 발휘되지 않는 제임스 건의 아픈 손가락 같은 작품."
슈퍼맨,작두
슈퍼맨,최고의 시작이라기엔 ‘엥?’스럽지만 훌륭한 영화라는 것에 대해 ‘예스!’라 답할 것이다
슈퍼맨,나릉드르누나
슈퍼맨,와 DC 의 부활인가요!! 가오갤 감독이 만든 DC 영화 성공적!
슈퍼맨,레오
슈퍼맨,제임스 건이 슈퍼맨을 바라보는 가벼운 시선
슈퍼맨,바닐라라떼
슈퍼맨,인간적임을 강조하기 위해 약해져야할 필요가 있을까
쥬라기 월드: 새로운 시작,귀여운_침착맨_569931
쥬라기 월드: 새로운 시작,지루한 서사와 적은 공룡 등장씬 ㄷㄷ 넘해요
쥬라기 월드: 새로운 시작,chance
쥬라기 월드: 새로운 시작,더 이상 보여줄 게 없어서 그런지 갈수록 괴기해지는 공룡이 안쓰럽다
쥬라기 월드: 새로운 시작,낯선사람
쥬라기 월드: 새로운 시작,"뻔하고 진부한 스토리, 쓸데없이 길다."
쥬라기 월드: 새로운 시작,자연형인간
쥬라기 월드: 새로운 시작,'놀이공원에 있는 공룡태마파크 vlog 영상과 동등한 영화'
쥬라기 월드: 새로운 시작,키다리노진구
쥬라기 월드: 새로운 시작,나는 공룡영화 처음 봐서 재미있었다 ..
쥬라기 월드: 새로운 시작,키높이오
쥬라기 월드: 새로운 시작,더 이상 새롭지 않은 공룡. 어디까지 새로워지나 보자.
